﻿id;name;code;city;region;type;logo_url;total_majors;total_quota;total_applicants
a07b9e3a-9c16-4c94-9cca-95dee7e9790e;Institut Pertanian Bogor;IPB;Kab. Bogor;Jawa Barat;Negeri;;65;2420;57590
c4fe975d-e026-47cb-8dca-b224680c1d5d;Institut Teknologi Kalimantan;ITK;Kota Balikpapan;Kalimantan Timur;Negeri;;22;1171;3636
dad3070f-b436-4dd9-bd12-230e3f638b35;ISI Padang Panjang;ISI PP;Kota Padang Panjang;Sumatera Barat;Negeri;;22;560;1105
1a6c7a87-b1a0-4145-a377-e274b2bbae3e;Universitas Airlangga;UNAIR;Kota Surabaya;Jawa Timur;Negeri;;63;3147;70641
4706f1fb-696c-45b3-ad03-7fac35a9cfc6;Universitas Andalas;UNAND;Kota Padang;Sumatera Barat;Negeri;;57;3152;38523
72e97d7c-5b37-479c-a668-d5f50541d673;Universitas Bengkulu;UNIB;Kota Bengkulu;Bengkulu;Negeri;;50;2651;17347
0b64bdc0-59da-4222-a6cd-bc470661bcba;Universitas Gadjah Mada;UGM;Kab. Sleman;D.I. Yogyakarta;Negeri;;93;2783;91926
933ac191-ebf8-409d-a85a-be15a6f281ea;Universitas Jember;UNEJ;Kab. Jember;Jawa Timur;Negeri;;72;4000;32828
b5d71883-bb82-4e22-9cca-f009ba857ccd;Universitas Lambung Mangkurat;ULM;Kota Banjarmasin;Kalimantan Selatan;Negeri;;69;3550;19528
2b2eed8b-7d8b-49a5-a296-58208f181386;Universitas Musamus Merauke;UNMUS;Kab. Merauke;Papua Selatan;Negeri;;31;1234;305
39e0e1e1-a524-42d3-8483-3e31c10fd1b3;Universitas Negeri Malang;UM;Kota Malang;Jawa Timur;Negeri;;80;4196;42090
384db87d-8faf-4d35-a14e-5ac743ecb313;Universitas Negeri Surabaya;UNESA;Kota Surabaya;Jawa Timur;Negeri;;110;8565;55706
172aee3a-927f-4438-a787-e82dc9d1cd5d;Universitas Palangkaraya;UPR;Kota Palangka Raya;Kalimantan Tengah;Negeri;;44;1626;5391
9e76d481-3afb-4e8b-baf9-b0ec31f181e3;Universitas Sam Ratulangi;UNSRAT;Kota Manado;Sulawesi Utara;Negeri;;49;3036;7882
154e3090-0184-4e3c-8cdf-27bc05c136ca;Universitas Sriwijaya;UNSRI;Kab. Ogan Ilir;Sumatera Selatan;Negeri;;61;3982;40788
4a8d76b7-f485-4988-b4d5-ede489a5a0af;Universitas Sultan Ageng Tirtayasa;UNTIRTA;Kab. Serang;Banten;Negeri;;48;5330;21851
baaefd0e-d04c-4fbb-b399-855bccfc1005;Universitas Sumatera Utara;USU;Kota Medan;Sumatera Utara;Negeri;;62;2914;60433
1ace4d5a-f003-4fae-992d-cf8bfde67e94;Universitas Syiah Kuala;USK;Kota Banda Aceh;Aceh;Negeri;;76;3538;32863
aa47008e-0763-44b8-80c1-470715294de6;Universitas Tadulako;UNTAD;Kota Palu;Sulawesi Tengah;Negeri;;63;4287;14580
9870e4e5-cc02-4101-820d-1281d6827a40;Universitas Tanjungpura;UNTAN;Kota Pontianak;Kalimantan Barat;Negeri;;69;3798;20616
4266cf90-36ff-4e17-9096-374d844664e3;Universitas Teuku Umar;UTU;Kab. Aceh Barat;Aceh;Negeri;;24;1380;2198
9b33288b-ee43-4c2a-8a3a-af75caf40ed2;Universitas Tidar;UNTIDAR;Kota Magelang;Jawa Tengah;Negeri;;28;2105;12674
481a61ab-2107-47e6-ba04-e3b3ad7967df;Politeknik Maritim Negeri Indonesia;POLIMARIN;Kota Semarang;Jawa Tengah;Negeri;;7;251;0
62c7e43d-0682-4b2a-a7f3-8b256bd594dc;Politeknik Negeri Banjarmasin;POLIBAN;Kota Banjarmasin;Kalimantan Selatan;Negeri;;20;927;2757
1737c2dc-05f5-4368-a47d-659a255e2e63;Politeknik Negeri Indramayu;POLINDRA;Kab. Indramayu;Jawa Barat;Negeri;;9;411;1161
8a8ac5d8-9d8f-43be-9c28-e6403fec90a3;UIN Raden Intan Lampung;UIN RIL;Kota Bandar Lampung;Lampung;Negeri;;4;276;196
48e3cf52-9f23-4a38-b271-e39cf186a000;UIN Sultan Thaha Saifuddin Jambi;UIN STS;Kab. Muaro Jambi;Jambi;Negeri;;8;251;138
6daed48a-d452-4083-ae3b-40cd0e4a6834;UIN Sunan Ampel Surabaya;UINSA;Kota Surabaya;Jawa Timur;Negeri;;22;1751;3885
